example,method,family,status,source_level,h_values,t_end,reference_h,pos_order,vel_order,acc_order,finest_pos_error,finest_vel_error,finest_acc_error,paper_claim_scope,source_policy_closed
four_link,tfe2026_trapezoidal,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,1.8257760079592016e-07,3.8881084589425803,0.003393575041823113,8.772779835908295e-09,0.0005305821183068105,9.213692737588595,formula_proxy_diagnostic_not_original_paper_superiority,False
four_link,vp2024_coordinate_partitioning_rA,Kissel/Bakke/Negrut 2024,ok,local_proxy_or_alias,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,1.0954655604953813e-07,-0.0005331508233240909,3.307316358006584e-06,8.772780724086715e-09,1.0874561251483783e-08,4.726697966361826e-08,proxy_or_alias_diagnostic_not_original_code_superiority,False
slider_crank,local_Gauss6_FullVA,local proposed method,ok,local_proposed_method,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,6.163689642514354,7.340914510263872,1.0541648128408896,8.583161958952701e-12,9.188851068930859e-12,0.1039446115570094,internal_order_evidence,True
slider_crank,hi2022_rA,Fang/Kissel/Zhang/Negrut 2022,ok,public_code_bounded_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-9.667052707953401e-09,0.9405135627721478,1.4695867917389436,3.023802206403303e-07,0.03280724961770063,0.2127530861727437,bounded_common_reference_diagnostic_not_source_policy_superiority,False
slider_crank,hi2022_rA_half,Fang/Kissel/Zhang/Negrut 2022,ok,public_code_bounded_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-1.3427261191065426e-06,2.4585355719204536,2.7853430081202712,3.0238084972045165e-07,0.03280724964511248,0.2127530846647694,bounded_common_reference_diagnostic_not_source_policy_superiority,False
slider_crank,ra2021_rA,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,0.014994771048917284,0.940523673404011,1.4695735236274245,2.961547588276048e-07,0.03280678977122397,0.21275699948528015,bounded_common_reference_diagnostic_not_source_policy_superiority,False
slider_crank,ra2021_reps,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,2.2944381989323026,0.9404961730814937,1.46963785116362,5.2727600757807025e-09,0.03280698982575842,0.21273444982846657,bounded_common_reference_diagnostic_not_source_policy_superiority,False
slider_crank,ra2021_rp,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,2.7182555187265383,0.9404611290486714,1.4695645552635412,1.6631221705365462e-08,0.03280685790034398,0.21275206896313625,bounded_common_reference_diagnostic_not_source_policy_superiority,False
slider_crank,tfe2026_Newmark_beta,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,2.052595231750585e-09,2.051164940451728,1.9004624088268833,3.0238021628270495e-07,0.0015312303900446508,0.027820106054425642,formula_proxy_diagnostic_not_original_paper_superiority,False
slider_crank,tfe2026_TFE_m1,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,1.3904668834056354e-09,2.4813573655672228,-0.5427787600932811,3.023802160051492e-07,0.0006263600542035716,0.6072232035344856,formula_proxy_diagnostic_not_original_paper_superiority,False
slider_crank,tfe2026_TFE_m2,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-2.5160827759158857e-09,2.2898993941964103,0.5341667568517976,3.0238021708761664e-07,9.880693573564164e-05,0.08529836013090764,formula_proxy_diagnostic_not_original_paper_superiority,False
slider_crank,tfe2026_trapezoidal,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,5.297040942573577e-10,2.3293486660896003,-0.5083433966794363,3.023802165880163e-07,0.0007327759579871182,0.5658281243759333,formula_proxy_diagnostic_not_original_paper_superiority,False
slider_crank,vp2024_coordinate_partitioning_rA,Kissel/Bakke/Negrut 2024,ok,local_proxy_or_alias,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,-1.1256183256969058e-09,-3.25315475197517e-07,-5.2164936262442025e-08,3.023802170321055e-07,1.331825765504835e-07,1.682622301935055e-06,proxy_or_alias_diagnostic_not_original_code_superiority,False
